"id","cnt"
1,"1600"
2,"1349"
3,"1248"
4,"1167"
5,"1406"
6,"1623"
7,"1917"
8,"1000"
9,"1000"
10,"1406"
11,"1096"
12,"1349"
13,"1708"
14,"1526"
15,"1708"
16,"1605"
17,"1917"
18,"2134"
19,"2471"
20,"1461"
21,"1461"
22,"1872"
23,"623"
24,"2210"
25,"2703"
26,"3141"
27,"2132"
28,"1685"
29,"3141"
30,"1807"
31,"2895"
32,"3141"
33,"822"
34,"3351"
35,"3239"
36,"4189"
37,"3855"
38,"5312"
39,"4333"
40,"4189"
41,"4833"
42,"3351"
43,"4677"
44,"4507"
45,"4677"
46,"4105"
47,"4553"
48,"3958"
49,"4991"
50,"4835"
51,"3982"
52,"4744"
53,"5202"
54,"5342"
55,"5119"
56,"4649"
57,"4086"
58,"5305"
59,"5515"
60,"5895"
61,"4576"
62,"4342"
63,"3840"
64,"4294"
65,"4845"
66,"3784"
67,"4590"
68,"3840"
69,"3784"
70,"4763"
71,"3544"
72,"5130"
73,"4475"
74,"4727"
75,"4795"
76,"4763"
77,"4539"
78,"4304"
79,"3659"
80,"4334"
81,"5409"
82,"2424"
83,"4839"
84,"4763"
85,"2424"
86,"2918"
87,"5046"
88,"4563"
89,"4763"
90,"4334"
91,"754"
92,"4067"
93,"3663"
94,"4046"
95,"4195"
96,"3392"
97,"1842"
98,"3068"
99,"2485"
100,"1607"
101,"2765"
102,"3068"
103,"3614"
104,"3520"
105,"2660"
106,"754"
107,"3310"
108,"2739"
109,"1162"
110,"3068"
